"Key"	"en"	"es"	"cs"	"fi"	"fr"	"uk"	"sv"	"no"	"zh"	"tr"	"ru"	"ka"	"ro"	"pt"	"pl"	"nl"	"de"	"ko"	"ja"	"it"	"id"	"hi"	"bn"	"vi"	"ar"
"CR_MajorIssuesWithNote"	"It is best to unsubscribe from this mod."	"Es mejor darse de baja de este mod."	"Z tohoto mod je nejlepší odhlásit."	"On parasta peruuttaa tästä modista."	"Il est préférable de se désabonner de ce mod."	"Найкраще скасувати підписку на цей мод."	"Det är bäst att avsluta prenumerationen på denna mod."	"Det er best å melde seg ut fra denne moden."	"最好取消订阅此模组。"	"Bu moddan iptal etmek en iyisidir."	"Лучше всего отписаться от этого мода."	"უმჯობესია გაუუქმოთ გამოწერა ამ მოდის."	"Cel mai bine este să vă dezabonați de la acest mod."	"É melhor cancelar a inscrição deste mod."	"Najlepiej zrezygnować z tego modu."	"Het is het beste om af te mafteren van deze mod."	"Es ist am besten, sich von diesem Mod abzumelden."	"이 모드에서 구독을 취소하는 것이 가장 좋습니다."	"MODのサブスク解除を推奨します。"	"È meglio annullare l'iscrizione a questa mod."	"Yang terbaik adalah berhenti berlangganan dari mod ini."	"इस मॉड से सदस्यता समाप्त करना सबसे अच्छा है।"	"এই মোড থেকে সাবস্ক্রাইব করা ভাল।"	"Tốt nhất là hủy đăng ký khỏi mod này."	"من الأفضل إلغاء الاشتراك من هذا التعديل."
"CR_MinorIssuesNoNote"	"This mod has minor issues, check its workshop description for more info."	"Este mod tiene problemas menores, consulte su descripción del taller para obtener más información."	"Tento mod má drobné problémy a zkontrolujte popis jeho workshopu pro více informací."	"Tällä modilla on pieniä ongelmia, tarkista sen työpajan kuvaus lisätietoja."	"Ce mod a des problèmes mineurs, vérifiez sa description de l'atelier pour plus d'informations."	"Цей мод має незначні проблеми, перегляньте його опис семінару для отримання додаткової інформації."	"Denna mod har mindre problem, kontrollera sin verkstadsbeskrivning för mer info."	"Denne moden har mindre problemer, sjekk verkstedbeskrivelsen for mer info."	"此模组有次要问题，请查看此模组的工坊页面描述以了解更多信息。"	"Bu modda küçük sorunlar var, daha fazla bilgi için atölye açıklamasını kontrol edin."	"Этот мод имеет незначительные проблемы, проверьте его описание в мастерской для получения дополнительной информации."	"ამ მოდს აქვს მცირე პრობლემები, შეამოწმეთ მისი აღწერა სახელოსნოში დამატებითი ინფორმაციისთვის."	"Acest mod are probleme minore, verificați descrierea atelierului său pentru mai multe informații."	"Este mod tem pequenos problemas, verifique sua descrição do workshop para obter mais informações."	"Ten mod ma drobne problemy, sprawdź opis warsztatu, aby uzyskać więcej informacji."	"Deze mod heeft kleine problemen, controleer zijn workshopbeschrijving voor meer info."	"Dieser Mod hat geringfügige Probleme. Überprüfen Sie die Beschreibung der Workshop, um weitere Informationen zu erhalten."	"이 모드에는 사소한 문제가 있으며 자세한 내용은 워크숍 설명을 확인하십시오."	"MODにマイナーな問題があります。詳細はワークショップの説明を確認して下さい。"	"Questa mod ha problemi minori, controlla la sua descrizione del seminario per maggiori informazioni."	"Mod ini memiliki masalah kecil, periksa deskripsi lokakarya untuk info lebih lanjut."	"इस मॉड में मामूली मुद्दे हैं, अधिक जानकारी के लिए इसके कार्यशाला विवरण की जाँच करें।"	"এই মোডের সামান্য সমস্যা রয়েছে, আরও তথ্যের জন্য এর কর্মশালার বিবরণটি পরীক্ষা করুন।"	"Mod này có vấn đề nhỏ, kiểm tra mô tả hội thảo của nó để biết thêm thông tin."	"يحتوي هذا وزارة الدفاع على مشكلات بسيطة ، والتحقق من وصف ورشة العمل لمزيد من المعلومات."
"CR_MinorIssuesWithNote"	"This mod has minor issues."	"Este mod tiene problemas menores."	"Tento mod má drobné problémy."	"Tällä modilla on pieniä ongelmia."	"Avertissements en vigueur."	"Цей мод має незначні проблеми."	"Denna mod har mindre problem."	"Denne moden har mindre problemer."	"此模组有次要问题。"	"Bu modun küçük sorunları var."	"Этот мод имеет незначительные проблемы."	"ამ მოდს მცირე პრობლემები აქვს."	"Acest mod are probleme minore."	"Este mod tem pequenos problemas."	"Ten mod ma drobne problemy."	"Deze mod heeft kleine problemen."	"Dieser Mod hat kleinere Probleme."	"이 모드에는 사소한 문제가 있습니다."	"MODにマイナーな問題があります。"	"Questa mod ha problemi minori."	"Mod ini memiliki masalah kecil."	"इस मॉड में मामूली मुद्दे हैं।"	"এই মোডের সামান্য সমস্যা রয়েছে।"	"Mod này có vấn đề nhỏ."	"هذا وزارة الدفاع لديها قضايا بسيطة."
"CR_UserReportsNoNote"	"Users are reporting issues with this mod, check its workshop description for more info."	"Los usuarios informan problemas con este mod, verifiquen la descripción de su taller para obtener más información."	"Uživatelé hlásí problémy s tímto modem, zkontrolujte popis jeho workshopu pro více informací."	"Käyttäjät raportoivat tämän modin kanssa ongelmia, tarkista sen työpajan kuvaus saadaksesi lisätietoja."	"Les utilisateurs rapportent des problèmes avec ce mod, vérifiez sa description de l'Atelier pour plus d'informations."	"Користувачі звітують проблеми з цим модом, перегляньте його опис семінару для отримання додаткової інформації."	"Användare rapporterar problem med denna mod, kontrollera sin verkstadsbeskrivning för mer information."	"Brukere rapporterer problemer med denne moden, sjekk verkstedbeskrivelsen for mer info."	"有用户报告了此模组的问题，请查看此模组的工坊页面描述以了解更多信息。"	"Kullanıcılar bu modla ilgili sorunları bildiriyor, daha fazla bilgi için atölye açıklamasını kontrol ediyor."	"Пользователи сообщают о проблемах с этим модом, проверьте описание в мастерской для получения дополнительной информации."	"მომხმარებლები აფიქსირებენ ამ MOD– ს საკითხებს, შეამოწმეთ მისი სემინარის აღწერა დამატებითი ინფორმაციისთვის."	"Utilizatorii raportează probleme cu acest mod, verificați descrierea atelierului său pentru mai multe informații."	"Os usuários estão relatando problemas com este mod, verifique sua descrição do workshop para obter mais informações."	"Użytkownicy zgłaszają problemy z tym modem, sprawdź opis warsztatu, aby uzyskać więcej informacji."	"Gebruikers rapporteren problemen met deze mod, controleer de werkplaatsbeschrijving voor meer info."	"Benutzer melden Probleme mit diesem Mod und überprüfen Sie die Beschreibung der Workshop, um weitere Informationen zu erhalten."	"사용자는이 MOD에 문제를보고하고 있으며 자세한 내용은 워크숍 설명을 확인하십시오."	"ユーザーからMODの問題を報告しています。詳細はワークショップの説明を確認して下さい。"	"Gli utenti stanno segnalando problemi con questa mod, controlla la sua descrizione del seminario per maggiori informazioni."	"Pengguna melaporkan masalah dengan mod ini, periksa deskripsi lokakarya untuk info lebih lanjut."	"उपयोगकर्ता इस मॉड के साथ मुद्दों की रिपोर्ट कर रहे हैं, अधिक जानकारी के लिए इसके कार्यशाला विवरण की जाँच करें।"	"ব্যবহারকারীরা এই মোডের সাথে সমস্যাগুলি প্রতিবেদন করছেন, আরও তথ্যের জন্য এর কর্মশালার বিবরণটি পরীক্ষা করুন।"	"Người dùng đang báo cáo các vấn đề với mod này, kiểm tra mô tả hội thảo của nó để biết thêm thông tin."	"يقوم المستخدمون بالإبلاغ عن مشكلات مع هذا التعديل ، والتحقق من وصف ورشة العمل لمزيد من المعلومات."
"CR_UserReportsWithNote"	"Users are reporting issues with this mod."	"Los usuarios informan problemas con este mod."	"Uživatelé hlásí problémy s tímto modem."	"Käyttäjät raportoivat tämän modin kanssa ongelmia."	"Les utilisateurs signalent des problèmes avec ce mod."	"Користувачі звітують про проблеми з цим модом."	"Användare rapporterar problem med denna mod."	"Brukere rapporterer problemer med denne moden."	"有用户报告此模组存在问题。"	"Kullanıcılar bu modla ilgili sorunlar bildiriyor."	"Пользователи сообщают о проблемах с этим модом."	"მომხმარებლები აფიქსირებენ საკითხებს ამ მოდასთან დაკავშირებით."	"Utilizatorii raportează probleme cu acest mod."	"Os usuários estão relatando problemas com este mod."	"Użytkownicy zgłaszają problemy z tym modem."	"Gebruikers rapporteren problemen met deze mod."	"Benutzer melden Probleme mit diesem Mod."	"사용자는이 MOD에 문제를보고하고 있습니다."	"ユーザーからMODの問題を報告しています。"	"Gli utenti stanno segnalando problemi con questa mod."	"Pengguna melaporkan masalah dengan mod ini."	"उपयोगकर्ता इस मॉड के साथ मुद्दों की रिपोर्ट कर रहे हैं।"	"ব্যবহারকারীরা এই মোডের সাথে সমস্যাগুলি প্রতিবেদন করছেন।"	"Người dùng đang báo cáo các vấn đề với mod này."	"يقوم المستخدمون بالإبلاغ عن مشكلات مع هذا وزارة الدفاع."
"CR_NotEnoughInformationUpdated"	"There is not enough information about this mod to know if it works well, though it is updated for the current game version."	"No hay suficiente información sobre este mod para saber si funciona bien, aunque se actualiza para la versión del juego actual."	"O tomto modu není dostatek informací o tom, zda to funguje dobře, i když je aktualizován pro aktuální verzi hry."	"Tästä modista ei ole tarpeeksi tietoa tietääkseen, toimiiko se hyvin, vaikka se päivitetään nykyiseen peliversioon."	"Le mod est maintenu à jour, mais l'équipe du Compatibility Report ne s'est pas prononcée."	"Не вистачає інформації про цей мод, щоб знати, чи добре він працює, хоча він оновлюється для поточної ігрової версії."	"Det finns inte tillräckligt med information om denna mod för att veta om den fungerar bra, även om den uppdateras för den aktuella spelversionen."	"Det er ikke nok informasjon om denne moden til å vite om den fungerer bra, selv om den er oppdatert for den nåværende spillversjonen."	"即使此模组已经对当前游戏版本进行了更新，但目前还没有足够的信息可用于推断它的稳定性。"	"Mevcut oyun sürümü için güncellenmesine rağmen, iyi çalışıp çalışmadığını bilmek için bu mod hakkında yeterli bilgi yoktur."	"Мод обновлен для текущей версии игры, но не хватает информации, чтобы сказать работает он корректно или нет."	"ამ მოდელის შესახებ არ არის საკმარისი ინფორმაცია იმის ცოდნა, თუ იგი კარგად მუშაობს, თუმცა ის განახლებულია მიმდინარე თამაშის ვერსიისთვის."	"Nu există suficiente informații despre acest mod pentru a ști dacă funcționează bine, deși este actualizat pentru versiunea actuală a jocului."	"Não há informações suficientes sobre este mod para saber se funciona bem, embora seja atualizado para a versão atual do jogo."	"Nie ma wystarczającej ilości informacji o tym modach, aby wiedzieć, czy działa dobrze, choć jest aktualizowany dla bieżącej wersji gry."	"Er is niet genoeg informatie over deze mod om te weten of deze goed werkt, hoewel deze wordt bijgewerkt voor de huidige spelversie."	"Es gibt nicht genügend Informationen zu diesem Mod, um zu wissen, ob er gut funktioniert, obwohl er für die aktuelle Spielversion aktualisiert wird."	"현재 게임 버전에 대해 업데이트되지만이 모드에 대한 정보가 충분하지 않습니다."	"正しく機能するかなどMODに関する十分な情報はありませんが、現在のゲームバージョンで更新済みです。"	"Non ci sono abbastanza informazioni su questa mod per sapere se funziona bene, anche se è aggiornato per la versione di gioco corrente."	"Tidak ada informasi yang cukup tentang mod ini untuk mengetahui apakah berfungsi dengan baik, meskipun diperbarui untuk versi game saat ini."	"यह जानने के लिए इस मॉड के बारे में पर्याप्त जानकारी नहीं है कि क्या यह अच्छी तरह से काम करता है, हालांकि यह वर्तमान गेम संस्करण के लिए अपडेट किया गया है।"	"এটি ভাল কাজ করে কিনা তা জানতে এই মোড সম্পর্কে পর্যাপ্ত তথ্য নেই, যদিও এটি বর্তমান গেম সংস্করণের জন্য আপডেট হয়েছে।"	"Không có đủ thông tin về mod này để biết nó có hoạt động tốt không, mặc dù nó được cập nhật cho phiên bản trò chơi hiện tại."	"لا توجد معلومات كافية حول هذا التعديل لمعرفة ما إذا كان يعمل بشكل جيد ، على الرغم من أنه يتم تحديثه لإصدار اللعبة الحالي."
"CR_NotEnoughInformationOutdated"	"There is not enough information about this mod to know if it works well, but it is not up to date for the current game version."	"No hay suficiente información sobre este mod para saber si funciona bien, pero no está actualizado para la versión actual del juego."	"O tomto modu není dostatek informací o tom, zda to funguje dobře, ale není aktuální pro aktuální verzi hry."	"Tästä modista ei ole tarpeeksi tietoa tietääkseen, toimiiko se hyvin, mutta nykyisen pelin versioon ei ole ajan tasalla."	"Ce mod périmé n'est pas inscrit au rapport de compatibilité (CR). Soyez prudent."	"Не вистачає інформації про цей мод, щоб знати, чи добре він працює, але це не в курсі поточної ігрової версії."	"Det finns inte tillräckligt med information om denna mod att veta om det fungerar bra, men det är inte uppdaterat för den nuvarande spelversionen."	"Det er ikke nok informasjon om denne moden til å vite om det fungerer bra, men det er ikke oppdatert for den nåværende spillversjonen."	"目前还没有足够的信息可用于推断此模组的稳定性，但是此模组还没有对当前游戏版本进行更新。"	"Bu mod hakkında iyi çalışıp çalışmadığını bilmek için yeterli bilgi yoktur, ancak mevcut oyun sürümü için güncel değildir."	"Мод не был обновлен для последней версии игры и не хватает информации, чтобы сказать работает он корректно или нет."	"ამ მოდთან დაკავშირებით არ არის საკმარისი ინფორმაცია, თუ კარგად მუშაობს, მაგრამ ეს არ არის თანამედროვე თამაშის ვერსიისთვის."	"Nu există suficiente informații despre acest mod pentru a ști dacă funcționează bine, dar nu este actualizat pentru versiunea actuală a jocului."	"Não há informações suficientes sobre este mod para saber se funciona bem, mas não está atualizado para a versão atual do jogo."	"Nie ma wystarczającej ilości informacji o tym modach, aby wiedzieć, czy działa dobrze, ale nie jest to aktualne dla bieżącej wersji gry."	"Er is niet genoeg informatie over deze mod om te weten of deze goed werkt, maar het is niet up -to -date voor de huidige spelversie."	"Es gibt nicht genügend Informationen zu diesem Mod, um zu wissen, ob er gut funktioniert, aber es ist nicht auf dem neuesten Stand der aktuellen Spielversion."	"이 모드에 대한 정보가 충분히 잘 작동하는지 알기에 충분한 정보는 없지만 현재 게임 버전의 경우 최신 정보가 아닙니다."	"正しく機能するかなどMODに関する十分な情報はありませんが、現在のゲームバージョンで更新されていません。"	"Non ci sono abbastanza informazioni su questa mod per sapere se funziona bene, ma non è aggiornato per la versione di gioco corrente."	"Tidak ada informasi yang cukup tentang mod ini untuk mengetahui apakah itu berfungsi dengan baik, tetapi tidak up to date untuk versi game saat ini."	"यह जानने के लिए इस मॉड के बारे में पर्याप्त जानकारी नहीं है कि क्या यह अच्छी तरह से काम करता है, लेकिन यह वर्तमान गेम संस्करण के लिए अद्यतित नहीं है।"	"এটি ভালভাবে কাজ করে কিনা তা জানতে এই মোড সম্পর্কে পর্যাপ্ত তথ্য নেই, তবে এটি বর্তমান গেম সংস্করণটির জন্য আপ টু ডেট নয়।"	"Không có đủ thông tin về mod này để biết nó có hoạt động tốt không, nhưng nó không được cập nhật cho phiên bản trò chơi hiện tại."	"لا توجد معلومات كافية حول هذا التعديل لمعرفة ما إذا كان يعمل بشكل جيد ، لكنه ليس محدثًا لإصدار اللعبة الحالي."
"CR_Stable"	"This mod is stable and compatible with the current game version."	"Este mod es estable y compatible con la versión del juego actual."	"Tento mod je stabilní a kompatibilní s aktuální verzí hry."	"Tämä mod on vakaa ja yhteensopiva nykyisen pelin version kanssa."	"Ce mod est stable et compatible avec la version actuelle du jeu."	"Цей мод стабільний і сумісний із поточною версією гри."	"Denna mod är stabil och kompatibel med den aktuella spelversionen."	"Denne moden er stabil og kompatibel med den nåværende spillversjonen."	"此模组可以稳定运行，并与当前游戏版本兼容。"	"Bu mod sabittir ve mevcut oyun sürümüyle uyumludur."	"Этот мод стабилен и совместим с текущей игрой."	"ეს მოდი სტაბილურია და შეესაბამება მიმდინარე თამაშის ვერსიას."	"Acest mod este stabil și compatibil cu versiunea curentă a jocului."	"Este mod é estável e compatível com a versão atual do jogo."	"Ten mod jest stabilny i kompatybilny z bieżącą wersją gry."	"Deze mod is stabiel en compatibel met de huidige spelversie."	"Dieser Mod ist stabil und kompatibel mit der aktuellen Spielversion."	"이 모드는 안정적이며 현재 게임 버전과 호환됩니다."	"MODは安定していて、現在のゲームバージョンと互換性があります。"	"Questa mod è stabile e compatibile con l'attuale versione del gioco."	"Mod ini stabil dan kompatibel dengan versi game saat ini."	"यह मॉड वर्तमान गेम संस्करण के साथ स्थिर और संगत है।"	"এই মোডটি স্থিতিশীল এবং বর্তমান গেম সংস্করণটির সাথে সামঞ্জস্যপূর্ণ।"	"Mod này ổn định và tương thích với phiên bản trò chơi hiện tại."	"هذا التعديل مستقر ومتوافق مع إصدار اللعبة الحالي."
"CR_NotReviewedUpdated"	"This mod has not been reviewed yet, though it is updated for the current game version."	"Este mod aún no ha sido revisado, sin embargo, está actualizado para la versión actual del juego."	"Tento mod nebyl dosud přezkoumán, i když je aktualizován pro aktuální verzi hry."	"Tätä modia ei ole vielä tarkistettu, vaikka se päivitetään nykyiseen peliversioon."	"Ce mod n'a pas encore été examiné, bien qu'il soit mis à jour pour la version actuelle du jeu."	"Цей мод ще не був розглянутий, хоча він оновлюється для поточної ігрової версії."	"Denna mod har ännu inte granskats, även om den uppdateras för den aktuella spelversionen."	"Denne moden er ikke gjennomgått ennå, selv om den er oppdatert for den nåværende spillversjonen."	"即使此模组已经对当前游戏版本进行了更新，但此模组尚未被检查。"	"Mevcut oyun sürümü için güncellenmesine rağmen, bu mod henüz gözden geçirilmedi."	"Этот мод обновлен для последней версии игры, но еще не обработан."	"ეს mod ჯერ არ არის განხილული, თუმცა იგი განახლებულია მიმდინარე თამაშის ვერსიისთვის."	"Acest mod nu a fost încă revizuit, deși este actualizat pentru versiunea actuală a jocului."	"Este mod ainda não foi revisado, embora seja atualizado para a versão atual do jogo."	"Ten mod nie został jeszcze sprawdzony, choć jest aktualizowany dla bieżącej wersji gry."	"Deze mod is nog niet beoordeeld, hoewel deze is bijgewerkt voor de huidige spelversie."	"Dieser Mod wurde noch nicht überprüft, obwohl er für die aktuelle Spielversion aktualisiert wird."	"이 모드는 아직 검토되지 않았지만 현재 게임 버전에 대해 업데이트되었습니다."	"MODのレビューがありませんが、現在のゲームバージョンで更新済みです。"	"Questa mod non è stata ancora rivista, sebbene sia aggiornata per la versione di gioco corrente."	"Mod ini belum ditinjau, meskipun diperbarui untuk versi game saat ini."	"इस मॉड की अभी तक समीक्षा नहीं की गई है, हालांकि इसे वर्तमान गेम संस्करण के लिए अपडेट किया गया है।"	"এই মোডটি এখনও পর্যালোচনা করা হয়নি, যদিও এটি বর্তমান গেম সংস্করণের জন্য আপডেট হয়েছে।"	"Bản mod này chưa được xem xét, mặc dù nó được cập nhật cho phiên bản trò chơi hiện tại."	"لم تتم مراجعة هذا التعديل بعد ، على الرغم من أنه يتم تحديثه لإصدار اللعبة الحالي."
"CR_NotReviewedOutdated"	"This mod has not been reviewed yet, but it is not up to date for the current game version."	"Este mod aún no ha sido revisado, pero no está actualizado para la versión actual del juego."	"Tento mod nebyl dosud přezkoumán, ale není aktuální pro aktuální verzi hry."	"Tätä modia ei ole vielä tarkistettu, mutta se ei ole ajan tasalla nykyiselle peliversiolle."	"Ce mod n'a pas encore été examiné, et n'est pas à jour pour la version actuelle du jeu."	"Цей мод ще не був розглянутий, але він не в курсі поточної ігрової версії."	"Denna mod har inte granskats ännu, men den är inte uppdaterad för den nuvarande spelversionen."	"Denne moden er ikke gjennomgått ennå, men den er ikke oppdatert for den nåværende spillversjonen."	"此模组尚未被检查，但是此模组还没有对当前游戏版本进行更新。"	"Bu mod henüz gözden geçirilmedi, ancak mevcut oyun sürümü için güncel değil."	"Этот мод не обновлен для последней версии игры и не был еще обработан."	"ეს მოდი ჯერ არ არის განხილული, მაგრამ ეს არ არის თანამედროვე თამაშის ვერსიისთვის."	"Acest mod nu a fost încă revizuit, dar nu este actualizat pentru versiunea actuală a jocului."	"Este mod ainda não foi revisado, mas não está atualizado para a versão atual do jogo."	"Ten mod nie został jeszcze sprawdzony, ale nie jest to aktualne dla bieżącej wersji gry."	"Deze mod is nog niet beoordeeld, maar het is niet up -to -date voor de huidige spelversie."	"Dieser Mod wurde noch nicht überprüft, ist aber für die aktuelle Spielversion nicht auf dem neuesten Stand."	"이 모드는 아직 검토되지 않았지만 현재 게임 버전의 경우 최신 상태가 아닙니다."	"このMODはまだレビューされていませんが、現在のゲームバージョンに更新されていません。"	"Questa mod non è stata ancora rivista, ma non è aggiornata per la versione di gioco corrente."	"Mod ini belum ditinjau, tetapi tidak mutakhir untuk versi game saat ini."	"इस मॉड की अभी तक समीक्षा नहीं की गई है, लेकिन यह वर्तमान गेम संस्करण के लिए अद्यतित नहीं है।"	"এই মোডটি এখনও পর্যালোচনা করা হয়নি, তবে এটি বর্তমান গেমের সংস্করণের জন্য আপ টু ডেট নয়।"	"Bản mod này chưa được xem xét, nhưng nó không được cập nhật cho phiên bản trò chơi hiện tại."	"لم تتم مراجعة هذا وزارة الدفاع بعد ، ولكنه ليس محدثًا لإصدار اللعبة الحالي."
"CR_NotInCatalogMod"	"This item has not been reviewed, use this mod at your own risk."	"Este artículo no ha sido revisado, utiliza este mod bajo su propio riesgo."	"Tato položka nebyla přezkoumána, použijte tento mod na vlastní riziko."	"Tätä tuotetta ei ole tarkistettu, käytä tätä modia omalla vastuulla."	"Cet item n'a pas été examiné, utilisez ce mod à vos propres risques."	"Цей пункт не був переглянутий, використовуйте цей мод на власний ризик."	"Denna artikel har inte granskats, använd den här moden på egen risk."	"Denne varen er ikke gjennomgått, bruk denne moden på egen risiko."	"此模组尚未被检查，使用这个模组的风险自负。"	"Bu öğe gözden geçirilmedi, bu modu kendi sorumluluğunuzda kullanın."	"Этот пункт не был обработан, используйте его на свой страх и риск."	"ეს ნივთი არ იქნა განხილული, გამოიყენეთ ეს მოდი თქვენი საკუთარი რისკის ქვეშ."	"Acest articol nu a fost revizuit, utilizați acest mod pe propriul dvs. risc."	"Este item não foi revisado, use este mod por seu próprio risco."	"Ten przedmiot nie został sprawdzony, użyj tego modu na własne ryzyko."	"Dit item is niet beoordeeld, gebruik deze mod op eigen risico."	"Dieser Artikel wurde nicht überprüft. Verwenden Sie diesen Mod auf eigenes Risiko."	"이 항목은 검토되지 않았 으며이 모드를 자신의 위험으로 사용하십시오."	"アイテムがまだレビューされていません。自己責任でMODを使用して下さい。"	"Questo articolo non è stato rivisto, utilizza questa mod a proprio rischio."	"Item ini belum ditinjau, gunakan mod ini dengan risiko Anda sendiri."	"इस आइटम की समीक्षा नहीं की गई है, इस मॉड का उपयोग अपने जोखिम पर करें।"	"এই আইটেমটি পর্যালোচনা করা হয়নি, আপনার নিজের ঝুঁকিতে এই মোডটি ব্যবহার করুন।"	"Mục này chưa được xem xét, sử dụng mod này có nguy cơ của riêng bạn."	"لم تتم مراجعة هذا العنصر ، استخدم هذا التعديل على مسؤوليتك الخاصة."
"CR_NotInCatalog"	"This item has not been reviewed."	"Este artículo no ha sido revisado."	"Tato položka nebyla přezkoumána."	"Tätä tuotetta ei ole tarkistettu."	"Cet item n'a pas été examiné."	"Цей пункт не був переглянутий."	"Denna artikel har inte granskats."	"Denne varen er ikke gjennomgått."	"此项目尚未被检查。"	"Bu öğe gözden geçirilmedi."	"Этот пункт не был обработан."	"ეს ნივთი არ ყოფილა განხილული"	"Acest articol nu a fost revizuit."	"Este item não foi revisado."	"Ten element nie został sprawdzony."	"Dit item is niet beoordeeld."	"Dieser Artikel wurde nicht überprüft."	"이 항목은 검토되지 않았습니다."	"アイテムがまだレビューされていません。"	"Questo articolo non è stato rivisto."	"Item ini belum ditinjau."	"इस वस्तु की समीक्षा नहीं की गई है।"	"এই আইটেমটি পর্যালোচনা করা হয়নি।"	"Mục này đã không được xem xét."	"لم تتم مراجعة هذا العنصر."
"CR_MissingDLC"	"This item requires DLCs which you do not have."	"Este artículo requiere algún DLC que no tienes."	"Tato položka vyžaduje DLC, které nemáte."	"Tämä tuote vaatii DLC: tä, joita sinulla ei ole."	"Cet élément nécessite des DLC que vous n'avez pas."	"Цей елемент вимагає DLC, яких у вас немає."	"Denna artikel kräver DLC som du inte har."	"Denne varen krever DLC som du ikke har."	"此项目需要您目前没有的DLC。"	"Bu öğe, sahip olmadığınız DLC'leri gerektirir."	"Этот предмет требует DLC, которых у вас нет."	"ამ ნივთს მოითხოვს DLC– ებს, რომლებიც არ გაქვთ."	"Acest articol necesită DLC -uri pe care nu le aveți."	"Este item requer DLCs que você não possui."	"Ten przedmiot wymaga DLC, których nie masz."	"Dit item vereist DLC's die u niet heeft."	"Dieser Artikel erfordert DLCs, die Sie nicht haben."	"이 항목에는 가지고 있지 않은 DLC가 필요합니다."	"このアイテムは未所持のDLCが必要です。"	"Questo articolo richiede DLC che non hai."	"Item ini membutuhkan DLC yang tidak Anda miliki."	"इस आइटम के लिए DLCs की आवश्यकता होती है जो आपके पास नहीं है।"	"এই আইটেমটির জন্য ডিএলসিগুলির প্রয়োজন যা আপনার নেই।"	"Mục này yêu cầu DLC mà bạn không có."	"يتطلب هذا العنصر DLCs الذي ليس لديك."
